City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,noumea,-22.28,166.46,80.01,65,90,8.05,NC,1588118514
88,kruisfontein,-34.0,24.73,55.09,84,18,4.76,ZA,1588118515
89,sakakah,29.97,40.21,71.6,26,15,5.82,SA,1588118515
90,ostrovnoy,68.05,39.51,26.87,95,100,12.84,RU,1588118515
91,labuhan,-6.88,112.21,79.59,84,100,8.77,ID,1588118515
92,port alfred,-33.59,26.89,61.0,86,78,1.99,ZA,1588118516
93,husavik,66.04,-17.34,39.2,69,0,4.7,IS,1588118437
94,vaini,-21.2,-175.2,78.8,74,75,12.75,TO,1588118516
95,adrar,20.5,-10.07,87.44,15,40,11.1,MR,1588118516
96,ust-nera,64.57,143.2,29.57,80,90,4.09,RU,1588118517
97,ponta do sol,32.67,-17.1,62.6,67,40,2.24,PT,1588118517
98,nieves,15.33,120.95,80.6,74,75,2.24,PH,1588118517
99,lebu,-37.62,-73.65,53.22,85,5,1.77,CL,1588118518
100,ayagoz,47.97,80.44,63.63,40,47,16.17,KZ,1588118518
101,lorengau,-2.02,147.27,85.93,63,74,4.41,PG,1588118518
102,qui nhon,13.77,109.23,75.99,84,85,9.44,VN,1588118228
103,chokurdakh,70.63,147.92,15.96,96,75,2.13,RU,1588118518
104,erenhot,43.65,111.98,56.75,44,15,11.92,CN,1588118519
105,hoskote,13.07,77.8,69.8,100,40,9.17,IN,1588118519
106,stokmarknes,68.56,14.91,32.0,61,0,4.0,NO,1588118519
107,tessalit,20.2,1.01,86.05,14,49,12.46,ML,1588118520
108,gospic,44.55,15.37,57.2,100,75,2.24,HR,1588118520
109,dingle,11.0,122.67,83.89,71,100,11.23,PH,1588118520
110,santarem,-2.44,-54.71,80.6,94,75,4.7,BR,1588118521
111,castro,-24.79,-50.01,58.21,61,16,3.18,BR,1588118521
112,wattegama,6.8,81.48,74.97,88,52,2.06,LK,1588118522
113,bima,-8.47,118.72,79.23,81,1,3.76,ID,1588118522
114,semenivka,52.18,32.58,49.42,62,65,14.63,UA,1588118522
115,pisco,-13.7,-76.22,70.0,73,0,17.22,PE,1588118522
116,san quintin,30.48,-115.95,66.99,70,5,7.2,MX,1588118523
117,komsomolskiy,40.43,71.72,62.6,63,99,6.93,UZ,1588118523
118,vila franca do campo,37.72,-25.43,59.0,72,75,2.24,PT,1588118523
119,alugan,12.22,125.48,82.42,81,100,11.61,PH,1588118524
120,ballina,-28.87,153.57,68.0,93,75,3.36,AU,1588118236
121,lasa,46.62,10.7,42.8,93,75,9.17,IT,1588118524
